Iteration_1	Iteration_2	Iteration_3	Original_counts
WTCHG_230414_228230	1	1	1	1
WTCHG_227074_232206	1	1	1	2
WTCHG_227074_256254	2	1	1	2
WTCHG_230414_228206	1	1	1	2
WTCHG_230414_252253	1	1	1	1
WTCHG_227074_252229	1	1	1	2
WTCHG_217386_229230	2	1	1	1
WTCHG_227074_204254	2	1	1	1
WTCHG_230414_208229	1	1	1	2
WTCHG_227074_228206	1	2	1	1
WTCHG_230414_252229	1	2	1	1
WTCHG_230414_208277	1	2	1	1
WTCHG_227074_232230	1	1	1	1
WTCHG_227074_228254	2	1	1	2
WTCHG_227074_232278	2	1	1	2
WTCHG_230414_204230	1	1	1	2
WTCHG_230414_256254	1	1	1	2
WTCHG_227074_252205	1	1	1	2
WTCHG_230414_232254	1	1	1	2
WTCHG_227074_252253	2	1	1	1
WTCHG_230414_204254	1	1	1	2
WTCHG_230414_252205	1	1	1	2
WTCHG_230414_232278	1	2	1	1
WTCHG_230414_228278	1	1	1	1
WTCHG_230414_228254	1	1	1	2
WTCHG_227074_208205	1	1	1	2
WTCHG_227074_208229	2	1	1	1
WTCHG_230414_256278	1	1	1	2
WTCHG_227074_204230	1	1	1	2
WTCHG_227074_204278	2	2	1	1
WTCHG_230414_256206	1	1	1	2
WTCHG_227074_232254	2	1	1	1
WTCHG_230414_256230	1	1	1	1
WTCHG_227074_208277	2	1	1	2
WTCHG_227074_228230	1	2	1	1
WTCHG_230414_232206	1	1	1	1
WTCHG_227074_204206	2	2	1	1
WTCHG_227074_208253	2	2	2	2
WTCHG_227074_252277	2	1	1	2
WTCHG_230414_204278	1	1	1	2
WTCHG_217386_249229	2	1	2	1
WTCHG_227074_256230	2	2	1	2
WTCHG_230414_208205	1	1	1	1
WTCHG_230414_208253	1	1	1	2
WTCHG_227074_256278	2	1	1	2
WTCHG_227074_256206	1	1	1	2
WTCHG_230414_252277	1	1	1	1
WTCHG_227074_228278	2	2	1	1
WTCHG_230414_204206	1	1	1	1
WTCHG_230414_232230	1	1	1	2
