GENE_ID	WTCHG_217386_229230	WTCHG_217386_249229	WTCHG_227074_204206	WTCHG_227074_204230	WTCHG_227074_204254	WTCHG_227074_204278	WTCHG_227074_208205	WTCHG_227074_208229	WTCHG_227074_208253	WTCHG_227074_208277	WTCHG_227074_228206	WTCHG_227074_228230	WTCHG_227074_228254	WTCHG_227074_228278	WTCHG_227074_232206	WTCHG_227074_232230	WTCHG_227074_232254	WTCHG_227074_232278	WTCHG_227074_252205	WTCHG_227074_252229	WTCHG_227074_252253	WTCHG_227074_252277	WTCHG_227074_256206	WTCHG_227074_256230	WTCHG_227074_256254	WTCHG_227074_256278	WTCHG_230414_204206	WTCHG_230414_204230	WTCHG_230414_204254	WTCHG_230414_204278	WTCHG_230414_208205	WTCHG_230414_208229	WTCHG_230414_208253	WTCHG_230414_208277	WTCHG_230414_228206	WTCHG_230414_228230	WTCHG_230414_228254	WTCHG_230414_228278	WTCHG_230414_232206	WTCHG_230414_232230	WTCHG_230414_232254	WTCHG_230414_232278	WTCHG_230414_252205	WTCHG_230414_252229	WTCHG_230414_252253	WTCHG_230414_252277	WTCHG_230414_256206	WTCHG_230414_256230	WTCHG_230414_256254	WTCHG_230414_256278
ENSG00000000003	0	0	0	0	1	0	0	0	0	4	3	17	1	0	11	0	0	0	0	0	0	0	0	19	31	0	1	12	7	0	0	0	0	0	15	2	0	2	0	0	0	0	10	0	0	0	0	0	0	9
ENSG00000000419	0	0	0	0	3	0	0	1	0	0	3	0	0	0	0	0	0	0	0	2	9	2	0	1	3	8	0	0	3	0	5	0	12	0	2	0	6	0	0	0	0	6	0	0	3	0	0	3	4	0
ENSG00000000457	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	14	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0
ENSG00000000460	1	37	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000000938	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	11	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000000971	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	9	5	0	0	0	0	0	0
ENSG00000001036	3	20	0	0	0	0	0	0	18	2	0	17	0	18	0	0	18	0	0	0	0	0	16	0	0	0	13	0	0	0	0	9	0	0	0	0	0	0	13	5	0	8	4	8	0	10	0	0	0	0
ENSG00000001084	0	0	3	2	0	0	1	4	0	0	0	3	0	0	2	0	0	28	25	0	0	10	0	18	0	19	0	1	0	0	0	0	0	17	15	0	0	0	10	0	0	0	0	2	0	0	0	14	0	0
ENSG00000001167	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	16	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000001460	5	0	0	0	0	0	0	1	7	0	36	9	0	12	1	16	0	0	23	8	1	0	0	23	5	0	1	0	0	0	12	0	2	1	14	0	8	0	0	3	0	0	0	0	0	0	0	0	14	0
